UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear,BookGroup
Digital,OverDrive,EBOOK,2015,1,13,How to Win Friends and Influence People,NA,Dale Carnegie,"Business, Nonfiction, Psychology, Self Help","Simon & Schuster, Inc.",2014,Control
Physical,Horizon,BOOK,2015,1,22,The new Jim Crow : mass incarceration in the age of colorblindness / Michelle Alexander.,NA,"Alexander, Michelle","Criminal justice Administration of United States, African American prisoners United States, Race discrimination United States, United States Race relations","New Press ; Distributed by Perseus Distribution,",c2010.,Treatment
Physical,Horizon,BOOK,2015,1,16,"How to win friends and influence people / Dale Carnegie ; editorial consultant, Dorothy Carnegie ; editorial assistance, Arthur R. Pell.",NA,"Carnegie, Dale, 1888-1955","Success, Persuasion Psychology, Leadership, Business communication","Simon & Schuster,",2009.,Control
Digital,OverDrive,EBOOK,2015,1,9,Steve Jobs,NA,Walter Isaacson,"Biography & Autobiography, Business, Computer Technology, Nonfiction","Simon & Schuster, Inc.",2014,Control
Digital,OverDrive,EBOOK,2015,1,13,The New Jim Crow,NA,Michelle Alexander,"Nonfiction, Sociology",Perseus Books Group,2012,Treatment
Digital,OverDrive,EBOOK,2015,1,191,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,NA,Daniel James Brown,"History, Nonfiction, Sports & Recreations","Penguin Group (USA), Inc.",2013,Control
Physical,Horizon,BOOK,2015,1,90,Wild : from lost to found on the Pacific Crest Trail / Cheryl Strayed.,NA,"Strayed, Cheryl, 1968-","Strayed Cheryl 1968 Travel Pacific Crest Trail, Authors American 21st century Biography, Pacific Crest Trail Description and travel","Alfred A. Knopf,",2012.,Control
Digital,OverDrive,AUDIOBOOK,2015,1,3,The Art of War (Unabridged),NA,Sun Tzu,"History, Military, Nonfiction, Philosophy","Tantor Media, Inc",2007,Control
Digital,OverDrive,EBOOK,2015,1,1,The Art of War,NA,Sun Tzu,"Classic Literature, Fiction",eBooksDistrib SARL,2009,Control
Digital,OverDrive,EBOOK,2015,1,2,The Art of War: The Oldest Military Treatise in the World,NA,Sun Tzu,"Business, Nonfiction, Politics, Self-Improvement",Duke Classics,2011,Control
Digital,OverDrive,EBOOK,2015,1,6,The New Jim Crow: Mass Incarceration in the Age of Colorblindness,NA,Michelle Alexander,"Nonfiction, Politics",Perseus Books Group,2010,Treatment
Physical,Horizon,BOOK,2015,1,9,The new Jim Crow : mass incarceration in the age of colorblindness / Michelle Alexander ; [with a new foreword by Cornel West].,NA,"Alexander, Michelle","Discrimination in criminal justice administration United States, Criminal justice Administration of United States, African American prisoners United States, African American men Social conditions, Race discrimination United States, United States Race relations","New Press,",2012.,Treatment
Digital,OverDrive,EBOOK,2015,1,99,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,NA,Marie Kondo,"Home Design & Décor, Nonfiction, Philosophy, Self-Improvement","Random House, Inc.",2014,Control
Physical,Horizon,BOOK,2015,1,12,Steve Jobs / Walter Isaacson.,NA,"Isaacson, Walter","Jobs Steve 1955 2011, Apple Computer Inc History, Computer engineers United States Biography, Chief executive officers United States Biography","Simon & Schuster,",2011.,Control
Digital,OverDrive,AUDIOBOOK,2015,1,3,"How To Win Friends and Influence People, Lesson 1 (Unabridged)",NA,Dale Carnegie,"Nonfiction, Self-Improvement",BN Publishing,2009,Control
Physical,Horizon,BOOK,2015,1,9,Wild [text (large print)] : from lost to found on the Pacific Crest Trail / Cheryl Strayed.,NA,"Strayed, Cheryl, 1968-","Strayed Cheryl 1968 Travel Pacific Crest Trail, Authors American 21st century Biography, Pacific Crest Trail Description and travel, Large type books","Thorndike Press,","2013, c2012.",Control
Digital,OverDrive,AUDIOBOOK,2015,1,55,Wild: From Lost to Found on the Pacific Crest Trail (unabridged) (Unabridged),NA,Cheryl Strayed,"Biography & Autobiography, Nonfiction, Travel",Books on Tape,2012,Control
Digital,OverDrive,EBOOK,2015,1,1,The Art of War,NA,Tzu Sun,"History, Military, Nonfiction",Perseus Publishing,2010,Control
Digital,OverDrive,EBOOK,2015,1,10,How to Win Friends and Influence People in the Digital Age,NA,Dale Carnegie & Associates,"Business, Nonfiction, Psychology, Self-Improvement","Simon & Schuster, Inc.",2014,Control
Digital,OverDrive,EBOOK,2015,1,118,Wild: From Lost to Found on the Pacific Crest Trail,NA,Cheryl Strayed,"Biography & Autobiography, Nonfiction, Travel","Random House, Inc.",2012,Control
Digital,OverDrive,AUDIOBOOK,2015,1,2,"How To Win Friends and Influence People, Lesson 2 (Unabridged)",NA,Dale Carnegie,"Nonfiction, Self-Improvement",BN Publishing,2009,Control
Digital,OverDrive,AUDIOBOOK,2015,1,6,How to Win Friends and Influence People (Unabridged),NA,Dale Carnegie,"Nonfiction, Self-Improvement",Simon & Schuster - All Library,2008,Control
Physical,Horizon,BOOK,2015,2,105,Wild : from lost to found on the Pacific Crest Trail / Cheryl Strayed.,NA,"Strayed, Cheryl, 1968-","Strayed Cheryl 1968 Travel Pacific Crest Trail, Authors American 21st century Biography, Pacific Crest Trail Description and travel","Alfred A. Knopf,",2012.,Control
Digital,OverDrive,EBOOK,2015,2,5,How to Win Friends and Influence People in the Digital Age,NA,Dale Carnegie & Associates,"Business, Nonfiction, Psychology, Self-Improvement","Simon & Schuster, Inc.",2014,Control
Physical,Horizon,BOOK,2015,2,18,"How to win friends and influence people / Dale Carnegie ; editorial consultant, Dorothy Carnegie ; editorial assistance, Arthur R. Pell.",NA,"Carnegie, Dale, 1888-1955","Success, Persuasion Psychology, Leadership, Business communication","Simon & Schuster,",2009.,Control
Digital,OverDrive,AUDIOBOOK,2015,2,5,Steve Jobs (Unabridged),NA,Walter Isaacson,"Biography & Autobiography, Nonfiction",HighBridge Company,2015,Control
Digital,OverDrive,EBOOK,2015,2,2,The Art of War,NA,Tzu Sun,"History, Military, Nonfiction",Perseus Publishing,2010,Control
Digital,OverDrive,EBOOK,2015,2,6,Steve Jobs,NA,Walter Isaacson,"Biography & Autobiography, Business, Computer Technology, Nonfiction","Simon & Schuster, Inc.",2014,Control
Digital,OverDrive,AUDIOBOOK,2015,2,1,"How To Win Friends and Influence People, Lesson 1 (Unabridged)",NA,Dale Carnegie,"Nonfiction, Self-Improvement",BN Publishing,2009,Control
Digital,OverDrive,EBOOK,2015,2,89,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,NA,Marie Kondo,"Home Design & Décor, Nonfiction, Philosophy, Self-Improvement","Random House, Inc.",2014,Control
Digital,OverDrive,AUDIOBOOK,2015,2,7,How to Win Friends and Influence People (Unabridged),NA,Dale Carnegie,"Nonfiction, Self-Improvement",Simon & Schuster - All Library,2008,Control
Physical,Horizon,BOOK,2015,2,8,Wild [text (large print)] : from lost to found on the Pacific Crest Trail / Cheryl Strayed.,NA,"Strayed, Cheryl, 1968-","Strayed Cheryl 1968 Travel Pacific Crest Trail, Authors American 21st century Biography, Pacific Crest Trail Description and travel, Large type books","Thorndike Press,","2013, c2012.",Control
Digital,OverDrive,EBOOK,2015,2,3,The Art of War: The Oldest Military Treatise in the World,NA,Sun Tzu,"Business, Nonfiction, Politics, Self-Improvement",Duke Classics,2011,Control
Physical,Horizon,BOOK,2015,2,1,How to win friends and influence people for teen girls / presented by Donna Dale Carnegie.,NA,"Carnegie, Donna Dale","Teenage girls Psychology, Interpersonal relations in adolescence, Friendship in adolescence, Success in adolescence","Fireside,",c2005.,Control
Physical,Horizon,BOOK,2015,2,5,The new Jim Crow : mass incarceration in the age of colorblindness / Michelle Alexander.,NA,"Alexander, Michelle","Criminal justice Administration of United States, African American prisoners United States, Race discrimination United States, United States Race relations","New Press ; Distributed by Perseus Distribution,",c2010.,Treatment
