Year,Title,Creator,TotalCheckouts
2015,Bettyville : a memoir / George Hodgman.,"Hodgman, George.",323
2015,Bad feminist : essays / Roxane Gay.,"Gay, Roxane",310
2015,White girls / Hilton Als.,"Als, Hilton",119
2015,Frank : a life in politics from the Great Society to same-sex marriage / Barney Frank.,"Frank, Barney, 1940-",112
2015,Why be happy when you could be normal? / Jeanette Winterson.,"Winterson, Jeanette, 1959-",99
2015,"American Savage : insights, slights, and fights on faith, sex, love, and politics / Dan Savage.","Savage, Dan",68
2015,The essential Dykes to watch out for / Alison Bechdel.,"Bechdel, Alison, 1960-",54
2015,Gay Berlin : birthplace of a modern identity / Robert Beachy.,"Beachy, Robert.",46
2015,The prince of Los Cocuyos : a Miami childhood / Richard Blanco.,"Blanco, Richard, 1968-",46
2015,Irrepressible : the Jazz Age life of Henrietta Bingham / Emily Bingham.,"Bingham, Emily",43
2015,Whatever... love is love : questioning the labels we give ourselves / Maria Bello.,"Bello, Maria, 1967-",42
2015,Smash cut : a memoir of Howard & art & the '70s & the '80s / Brad Gooch.,"Gooch, Brad, 1952-",39
2015,After the dance : my life with Marvin Gaye / Jan Gaye with David Ritz.,"Gaye, Jan.",37
2015,Sister outsider : essays and speeches / by Audre Lorde ; [new foreword by Cheryl Clarke].,"Lorde, Audre",35
2015,A work in progress : a memoir / Connor Franta.,"Franta, Connor, 1992-",34
2015,Fairyland : a memoir of my father / Alysia Abbott.,"Abbott, Alysia",31
2015,I left it on the mountain / Kevin Sessums.,"Sessums, Kevin",29
2015,"Black girl dangerous : on race, queerness, class and gender / Mia McKenzie","McKenzie, Mia.",27
2015,The kid : (what happened after my boyfriend and I decided to go get pregnant) / Dan Savage.,"Savage, Dan",27
2015,The gay revolution : the story of the struggle / Lillian Faderman.,"Faderman, Lillian",26
2015,"Massive : gay erotic manga and the men who make it / [edited by] Anne Ishii, Chip Kidd, Graham Kolbeins.",NA,24
2015,Stories for boys : a memoir / Gregory Martin.,"Martin, Gregory, 1971-",24
2015,"Crimson spell. Volume 1 / story and art by Ayano Yamane ; [translation, Adrienne Beck].","Yamane, Ayano",23
2015,Gay Seattle : stories of exile and belonging / Gary L. Atkins.,"Atkins, Gary, 1949-",23
2015,Excluded : making feminist and queer movements more inclusive / Julia Serano.,"Serano, Julia",22
2015,"Crimson spell. Volume 2 / story and art by Ayano Yamane ; [translation, Adrienne Beck].","Yamane, Ayano",21
2015,"Crimson spell. Volume 4 / story and art by Ayano Yamane ; [translation, Adrienne Beck].","Yamane, Ayano",21
2015,Unnatural dykes to watch out for / by Alison Bechdel.,"Bechdel, Alison, 1960-",21
2015,Alice + Freda forever : a murder in Memphis / Alexis Coe ; with illustrations by Sally Klann.,"Coe, Alexis",20
2015,Bad kid : a memoir / David Crabb.,"Crabb, David",20
2015,"Crimson spell. Volume 3 / story and art by Ayano Yamane ; [translation, Adrienne Beck].","Yamane, Ayano",20
2015,God and the gay Christian : the biblical case in support of same-sex relationships / Matthew Vines.,"Vines, Matthew,",20
2015,James Merrill : life and art / Langdon Hammer.,"Hammer, Langdon, 1958-",20
2015,The letter Q : queer writers' notes to their younger selves / edited by Sarah Moon ; with contributing editor James Lecesne.,NA,20
2015,This book is gay / James Dawson ; illustrations by Spike Gerrell ; introduction by David Levithan.,"Dawson, James (Young adult fiction writer)",20
2015,Angels in America : a gay fantasia on national themes / Tony Kushner.,"Kushner, Tony",19
2015,"Gender outlaw : on men, women, and the rest of us / Kate Bornstein.","Bornstein, Kate, 1948-",19
2015,Stonewall : breaking out in the fight for gay rights / Ann Bausum.,"Bausum, Ann",19
2015,The invisibles : vintage portraits of love and pride / Sebastien Lifshitz.,"Lifshitz, Sébastien, 1968-",19
2015,Visions and revisions : coming of age in the age of AIDS / Dale Peck.,"Peck, Dale",19
2015,Branded by the pink triangle / Ken Setterington.,"Setterington, Ken",18
2015,"Hot, throbbing dykes to watch out for / by Alison Bechdel.","Bechdel, Alison, 1960-",18
2015,"It's not over : getting beyond tolerance, defeating homophobia, and winning true equality / Michelangelo Signorile.","Signorile, Michelangelo, 1960-",18
2015,"The commitment : love, sex, marriage, and my family / Dan Savage.","Savage, Dan",18
2015,The man who knew too much : Alan Turing and the invention of the computer / David Leavitt.,"Leavitt, David, 1961-",18
2015,Touching my father's soul : a Sherpa's journey to the top of Everest / Jamling Tenzing Norgay with Broughton Coburn.,"Norgay, Jamling Tenzing",18
2015,Eating fire : my life as a Lesbian Avenger / Kelly Cogswell.,"Cogswell, Kelly",17
2015,"Legendary : inside the house ballroom scene / photographs by Gerard H. Gaskin ; with an introduction by Deborah Willis, and an essay by Frank Roberts.","Gaskin, Gerard H., 1965-",17
2015,Queer and trans artists of color : stories of some of our lives / interviews by Nia King ; co-edited by jessica Glennon-Zukoff and Terra Mikalson.,NA,17
2015,Bad girls / M. William Phelps.,"Phelps, M. William",16
2015,"Chasing lost time : the life of C.K. Scott Moncrieff : soldier, spy, and translator / Jean Findlay.","Findlay, Jean",16
2015,Floating feet / Rick Anderson.,"Anderson, Rick, 1941-",16
2015,A queer history of fashion : from the closet to the catwalk / [edited by Valerie Steele].,NA,15
2015,Queer : the ultimate LGBT guide for teens / Kathy Belge and Marke Bieschke.,"Belge, Kathy",15
2015,A queer history of the United States / Michael Bronski.,"Bronski, Michael",14
2015,Close to the knives : a memoir of disintegration / David Wojnarowicz.,"Wojnarowicz, David",14
2015,Coming out to play / Robbie Rogers with Eric Marcus.,"Rogers, Robbie",14
2015,Gay men don't get fat / Simon Doonan.,"Doonan, Simon, 1952-",14
2015,Gaysia : adventures in the queer east / Benjamin Law ; foreword by Aaron Allbright.,"Law, Benjamin, 1982-",14
2015,"I am your sister : collected and unpublished writings of Audre Lorde / edited by Rudolph P. Byrd, Johnnetta Betsch Cole, Beverly Guy-Sheftall.","Lorde, Audre",14
2015,"It gets better : coming out, overcoming bullying, and creating a life worth living / edited by Dan Savage and Terry Miller.",NA,14
2015,There goes the gayborhood? / Amin Ghaziani.,"Ghaziani, Amin.",14
2015,"Love quest / Lily Hoshino ; [translation, Mari Griffin ; lettering, Tania Biswas].","Hoshino, Lily",13
2015,My avant-garde education : a memoir / Bernard Cooper.,"Cooper, Bernard, 1951-",13
2015,Washed and waiting : reflections on Christian faithfulness and homosexuality / Wesley Hill.,"Hill, Wesley, 1981-",13
2015,"For all of us, one today : an inaugural poet's journey / Richard Blanco.","Blanco, Richard, 1968-",12
2015,"GLBTQ : the survival guide for gay, lesbian, bisexual, transgender, and questioning teens / Kelly Huegel.","Huegel, Kelly, 1974-",12
2015,Gypsy boy : my life in the secret world of the Romany Gypsies / Mikey Walsh.,"Walsh, Mikey",12
2015,Gypsy boy on the run : my escape from a life among the Romany gypsies / Mikey Walsh.,"Walsh, Mikey",12
2015,How to be gay / David M. Halperin.,"Halperin, David M., 1952-",12
2015,Studs : gay erotic fiction / edited by Richard Labonté ; selected and introduced by Emanuel Xavier.,NA,12
2015,Then comes marriage : United States v. Windsor and the defeat of DOMA / Roberta Kaplan ; with Lisa Dickey ; foreword by Edie Windsor.,"Kaplan, Roberta A.,",12
2015,Does Jesus really love me? : a gay Christian's pilgrimage in search of God in America / Jeff Chu.,"Chu, Jeff",11
2015,"For colored boys who have considered suicide when the rainbow is still not enough : coming of age, coming out, and coming home / edited by Keith Boykin.",NA,11
2015,The end of San Francisco / Mattilda Bernstein Sycamore.,"Sycamore, Mattilda Bernstein",11
2015,This is my family : a first look at same-sex parents / Pat Thomas ; illustrated by Lesley Harker.,"Thomas, Pat, 1959-",11
2015,Wolf magic / Natsuki Zippo.,"Zippo, Natsuki",11
2015,velvet rage overcoming the pain of growing up gay in a straight mans world,NA,11
2015,'74 and sunny / A.J. Benza.,"Benza, A. J.",10
2015,"Against equality : queer revolution, not mere inclusion / edited by Ryan Conrad.",NA,10
2015,Anthony Blunt : his lives / Miranda Carter.,"Carter, Miranda, 1965-",10
2015,Coal to diamonds : a memoir / Beth Ditto ; with Michelle Tea.,"Ditto, Beth",10
2015,Depression : a public feeling / Ann Cvetkovich.,"Cvetkovich, Ann, 1957-",10
2015,Geography of the heart : a memoir / Fenton Johnson.,"Johnson, Fenton",10
2015,Henry & Glenn forever & ever / [edited] by Tom Neely & friends ; [foreword by Rob Halford].,NA,10
2015,Man up! : tales of my delusional self-confidence / Ross Mathews ; [foreword by Gwyneth Paltrow ; afterword by Chelsea Handler].,"Mathews, Ross, 1979-",10
2015,Not gay : sex between straight white men / Jane Ward.,"Ward, Elizabeth Jane",10
2015,"Pink triangle : the feuds and private lives of Tennessee Williams, Gore Vidal, Truman Capote, and members of their entourages / Darwin Porter & Danforth Prince.","Porter, Darwin",10
2015,Queer hauntings : true tales of gay & lesbian ghosts / compiled by Ken Summers.,"Summers, Ken, 1979-",10
2015,Speak now : marriage equality on trial : the story of Hollingsworth v. Perry / Kenji Yoshino.,"Yoshino, Kenji",10
2015,"Testo junkie : sex, drugs, and biopolitics in the pharmacopornographic era / Beatriz Preciado ; translated from the French by Bruce Benderson.","Preciado, Beatriz.",10
2015,"The Laramie project / by Moisés Kaufman and the members of Tectonic Theater Project ; [head writer, Leigh Fondakowski ; associate writers, Stephen Belber, Greg Pierotti, Stephen Wangh ; dramaturgs, Amanda Gronich ... et al.].","Kaufman, Moisés",10
2015,The bill from my father : a memoir / Bernard Cooper.,"Cooper, Bernard, 1951-",10
2015,"The right side of history : 100 years of LGBTQI activism / Adrian Brooks ; foreword by Jonathan D. Katz, PhD.","Brooks, Adrian, 1947-",10
2015,Who's yer daddy? : gay writers celebrate their mentors and forerunners / edited by Jim Elledge and David Groff.,NA,10
2015,"Body counts : a memoir of politics, sex, AIDS, and survival / Sean Strub.","Strub, Sean O'Brien",9
2015,"Butch queens up in pumps : gender, performance, and ballroom culture in Detroit / Marlon M. Bailey.","Bailey, Marlon M., 1969-",9
2015,City boy : my life in New York during the 1960s and '70s / Edmund White.,"White, Edmund, 1940-",9
2015,"Diving into the wreck : poems, 1971-1972 / Adrienne Rich.","Rich, Adrienne, 1929-2012",9
2015,Gay is good : the life and letters of gay rights pioneer Franklin Kameny / edited by Michael G. Long.,"Kameny, Frank, 1925-2011.",9
2015,How the homosexuals saved civilization : the true and heroic story of how gay men shaped the modern world / Cathy Crimmins.,"Crimmins, C. E.",9
2015,Odd girls and twilight lovers : a history of lesbian life in twentieth-century America / Lillian Faderman.,"Faderman, Lillian",9
2015,Pray the gay away : the extraordinary lives of Bible belt gays / Bernadette Barton.,"Barton, Bernadette",9
2015,"Queer (in)justice : the criminalization of LGBT people in the United States / Joey L. Mogul, Andrea J. Ritchie, and Kay Whitlock.","Mogul, Joey L., 1969-",9
2015,The book of Matt : hidden truths about the murder of Matthew Shepard / Stephen Jimenez.,"Jimenez, Stephen",9
2015,The box wine sailors : misadventures of a broke young couple at sea / Amy McCullough.,"McCullough, Amy (Amy Gayle), 1979-",9
2015,The normal heart and The destiny of me : two plays / by Larry Kramer; with foreword by Tony Kushner.,"Kramer, Larry",9
2015,The other side of paradise : a memoir / Staceyann Chin.,"Chin, Staceyann, 1972-",9
2015,The velvet rage : overcoming the pain of growing up gay in a straight man's world / Alan Downs.,"Downs, Alan",9
2015,"Aimée & Jaguar : a love story, Berlin 1943 / Erica Fischer ; translated from the German by Edna McCown ; with Allison Brown.","Fischer, Erica, 1943-",8
2015,"Big sex, little death : [a memoir] / Susie Bright.","Bright, Susie, 1958-",8
2015,Bootycandy / by Robert O'Hara.,"O'Hara, Robert",8
2015,"Coming around : parenting lesbian, gay, bisexual, and transgender kids / Anne Dohrenwend.","Dohrenwend, Anne",8
2015,Directions to the beach of the dead / Richard Blanco.,"Blanco, Richard, 1968-",8
2015,"Fire island pines : polaroids, 1975-1983 / Tom Bianchi.","Bianchi, Tom",8
2015,"Gay and Catholic : accepting my sexuality, finding community, living my faith / Eve Tushnet.","Tushnet, Eve.",8
2015,Intolerable : a memoir of extremes / Kamal Al-Solaylee.,"Al-Solaylee, Kamal",8
2015,"Lionel H. Pries, architect, artist, educator : from arts and crafts to modern architecture / Jeffrey Karl Ochsner.","Ochsner, Jeffrey Karl",8
2015,"No house to call my home : love, family, and other transgressions / Ryan Berg.","Berg, Ryan, 1974-",8
2015,Persistence : all ways butch and femme / edited by Ivan E. Coyote & Zena Sharman.,NA,8
2015,Speaking out : queer youth in focus / [photography by] Rachelle Lee Smith ; foreword by Candace Gingrich ; afterword by Graeme Taylor.,"Smith, Rachelle Lee,",8
2015,"The Up Stairs Lounge arson : thirty-two deaths in a New Orleans gay bar, June 24, 1973 / Clayton Delery-Edwards.","Delery-Edwards, Clayton, 1957-",8
2015,The joy of gay sex / Charles Silverstein and Felice Picano ; illustrations by Joseph Phillips.,"Silverstein, Charles",8
2015,The queerness of Native American literature / Lisa Tatonetti.,"Tatonetti, Lisa,",8
2015,Torn : rescuing the Gospel from the gays-vs.-Christians debate / Justin Lee.,"Lee, Justin, 1977-",8
2015,"Uncovered : how I left Hasidic life and finally came home, a memoir / by Leah Lax.","Lax, Leah",8
2015,"Virgil / [story, Steve Orlando ; art, J.D. Faith ; colors Chris Beckett ; letter & design, Thomas Mauer].","Orlando, Steve,",8
2015,"Why are faggots so afraid of faggots? : flaming challenges to masculinity, objectification, and the desire to conform / [edited by Mattilda Bernstein Sycamore].",NA,8
2015,An underground life : memoirs of a gay Jew in Nazi Berlin / Gad Beck ; written with Frank Heibert ; translated by Allison Brown.,"Beck, Gad, 1923-2012",7
2015,Don't tell me to wait : how the fight for gay rights changed America and transformed Obama's presidency / Kerry Eleveld.,"Eleveld, Kerry,",7
2015,Dreadful : the short life and gay times of John Horne Burns / David Margolick.,"Margolick, David",7
2015,Facing the music : my story / Jennifer Knapp.,"Knapp, Jennifer, 1974-",7
2015,"Fat gay men : girth, mirth, and the politics of stigma / Jason Whitesel.","Whitesel, Jason.",7
2015,Gay men and the new way forward / Raymond L. Rigoglioso ; foreword by Toby Johnson.,"Rigoglioso, Raymond L.",7
2015,Grief sucks... but love bears all things : how grief tore me apart and put me back together / Gayle Taylor Davis.,"Davis, Gayle Taylor.",7
2015,How poetry saved my life : a hustler's memoir / Amber Dawn.,"Dawn, Amber, 1974-",7
2015,I am what I am / John Barrowman with Carole E. Barrowman.,"Barrowman, John, 1968-",7
2015,If you knew then what I know now / Ryan Van Meter.,"Van Meter, Ryan, 1975-",7
2015,Man with a blue scarf : on sitting for a portrait by Lucian Freud / Martin Gayford.,"Gayford, Martin, 1952-",7
2015,Safe space : gay neighborhood history and the politics of violence / Christina B. Hanhardt.,"Hanhardt, Christina B.",7
2015,Sexual intimacy for women : a guide for same-sex couples / Glenda Corwin.,"Corwin, Glenda",7
2015,Straight walk : a supermodel's journey to finding her truth : a memoir / Patricia Velasquez.,"Velasquez, Patricia",7
2015,The gay essay / Anthony Friedkin ; Julian Cox with Nayland Blake and Eileen Myles.,"Friedkin, Anthony, 1949-",7
2015,The reappearing act : coming out as gay on a college basketball team led by born-again Christians / Kate Fagan.,"Fagan, Kate, 1973-",7
2015,100 crushes / Elisha Lim.,"Lim, Elisha",6
2015,An American queer : the Amazon trail / by Lee Lynch.,"Lynch, Lee, 1945-",6
2015,Brazen femme : queering femininity / edited by Chloë Brushwood Rose and Anna Camilleri.,NA,6
2015,"Cease : a memoir of love, loss and desire / Lynette Loeppky.","Loeppky, Lynette Dawn, 1966-",6
2015,Covering : the hidden assault on our civil rights / Kenji Yoshino.,"Yoshino, Kenji",6
2015,Gay voices of the Harlem Renaissance / A.B. Christa Schwarz.,"Schwarz, A. B. Christa, 1972-",6
2015,I can give you anything but love / Gary Indiana.,"Indiana, Gary",6
2015,"Love, Ellen : a mother/daughter journey / Betty DeGeneres.","DeGeneres, Betty, 1930-",6
2015,Modern families : stories of extraordinary journeys to kinship / Joshua Gamson ; foreword by Melissa Harris-Perry.,"Gamson, Joshua, 1962-",6
2015,My thinning years : starving the gay within / Jon Derek Croteau.,"Croteau, Jon Derek, 1975-",6
2015,Prairie silence : a memoir / Melanie M. Hoffert.,"Hoffert, Melanie M., 1974-",6
2015,"She ain't heavy, she's my mother : a memoir / Bryan Batt.","Batt, Bryan",6
