UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear,BookGroup
Digital,OverDrive,EBOOK,2017,1,35,Sapiens: A Brief History of Humankind,NA,Yuval Noah Harari,"History, Nonfiction, Science",HarperCollins Publishers Inc.,2015,Control
Digital,OverDrive,EBOOK,2017,1,18,The New Jim Crow: Mass Incarceration in the Age of Colorblindness,NA,Michelle Alexander,"Nonfiction, Politics",Perseus Books Group,2010,Treatment
Digital,OverDrive,EBOOK,2017,1,18,White Rage: The Unspoken Truth of Our Racial Divide,NA,Carol Anderson,"History, Nonfiction",Bloomsbury USA,2016,Treatment
Physical,Horizon,BOOK,2017,1,12,Bettyville : a memoir / George Hodgman.,NA,"Hodgman, George.","Hodgman George, Adult children of aging parents United States Biography, Caregivers United States Biography, Aging parents Care United States, Mothers and sons United States, Sons Family relationships United States, Gay men Family relationships United States","Viking,",c2015.,LGBT
Physical,Horizon,BOOK,2017,1,25,"How to win friends and influence people / Dale Carnegie ; editorial consultant, Dorothy Carnegie ; editorial assistance, Arthur R. Pell.",NA,"Carnegie, Dale, 1888-1955","Success, Persuasion Psychology, Leadership, Business communication","Simon & Schuster,",2009.,Control
Physical,Horizon,BOOK,2017,1,5,Steve Jobs / Walter Isaacson.,NA,"Isaacson, Walter","Jobs Steve 1955 2011, Apple Computer Inc History, Computer engineers United States Biography, Chief executive officers United States Biography","Simon & Schuster,",2011.,Control
Digital,OverDrive,AUDIOBOOK,2017,1,2,Art of War: The Denma Translation (unabridged) (Unabridged),NA,Sun Tzu,"Nonfiction, Religion & Spirituality","Sounds True, Inc",2007,Control
Digital,OverDrive,AUDIOBOOK,2017,1,102,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing (unabridged) (Unabridged),NA,Marie Kondo,"Home Design & Décor, Nonfiction, Self-Improvement","Tantor Media, Inc",2015,Control
Physical,Horizon,BOOK,2017,1,15,Bad feminist : essays / Roxane Gay.,NA,"Gay, Roxane","Feminism, Popular culture, Gay Roxane Anecdotes, Women Conduct of life Anecdotes, Race awareness in motion pictures, African Americans in mass media, Essays","Harper Perennial,",c2014.,LGBT
Physical,Horizon,BOOK,2017,1,1,"Shidifu Qiaobusi zhuan / [Mei] Wo'erte Aisakesen, zhu ; [Guan Yanqi deng, yi] = Steve Jobs / by Walter Isaacson.",NA,"Isaacson, Walter","Jobs Steve 1955 2011, Apple Computer Inc History, Computer engineers United States Biography, Chief executive officers United States Biography, Businesspeople United States Biography","Zhong xin chu ban she,",2011.,Control
Digital,OverDrive,EBOOK,2017,1,7,Bettyville: A Memoir,NA,George Hodgman,"Biography & Autobiography, Family & Relationships, Gay/Lesbian, Nonfiction","Penguin Group (USA), Inc.",2015,LGBT
Digital,OverDrive,EBOOK,2017,1,3,How to Win Friends and Influence People in the Digital Age,NA,Dale Carnegie & Associates,"Business, Nonfiction, Psychology, Self-Improvement","Simon & Schuster, Inc.",2014,Control
Digital,OverDrive,AUDIOBOOK,2017,1,11,Bad Feminist: Essays (unabridged) (Unabridged),NA,Roxane Gay,"Essays, Humor (Nonfiction), Nonfiction, Sociology",HarperCollins Publishers Inc.,2015,LGBT
Digital,OverDrive,EBOOK,2017,1,97,Wild: From Lost to Found on the Pacific Crest Trail,NA,Cheryl Strayed,"Biography & Autobiography, Nonfiction, Travel","Random House, Inc.",2012,Control
Digital,OverDrive,EBOOK,2017,1,5,The Art of War: The Oldest Military Treatise in the World,NA,Sun Tzu,"Business, Nonfiction, Politics, Self-Improvement",Duke Classics,2011,Control
Digital,OverDrive,EBOOK,2017,1,4,Welcome to the Universe: An Astrophysical Tour,NA,Neil DeGrasse Tyson,"Nonfiction, Science",Princeton University Press,2016,Control
Physical,Horizon,BOOK,2017,1,139,When breath becomes air / Paul Kalanithi ; foreword by Abraham Verghese.,NA,"Kalanithi, Paul.","Kalanithi Paul Health, Lungs Cancer Patients United States Biography, Neurosurgeons Biography, Husband and wife","Random House,",[2016],Control
Digital,OverDrive,AUDIOBOOK,2017,1,11,Steve Jobs (Unabridged),NA,Walter Isaacson,"Biography & Autobiography, Nonfiction",HighBridge Company,2015,Control
